LabelID,Mean,StdD,Max,Min,Count,Vol(mm^3),Extent_X,Extent_Y,Extent_Z
0,0.0,0.0,0.0,0.0,21574531,11046131.561,240,300,300
1,1.0,0.0,1.0,1.0,852,436.223,14,29,12
2,2.0,0.0,2.0,2.0,383,196.095,11,13,11
3,3.0,0.0,3.0,3.0,703,359.935,14,16,12
4,4.0,0.0,4.0,4.0,313,160.256,11,14,9
5,5.0,0.0,5.0,5.0,322,164.864,12,12,11
6,6.0,0.0,6.0,6.0,208,106.496,8,12,11
7,7.0,0.0,7.0,7.0,102,52.224,5,9,7
8,8.0,0.0,8.0,8.0,176,90.112,7,9,8
9,9.0,0.0,9.0,9.0,76,38.912,3,7,8
10,10.0,0.0,10.0,10.0,145,74.24,8,12,8
11,11.0,0.0,11.0,11.0,178,91.136,10,12,8
12,12.0,0.0,12.0,12.0,190,97.28,8,11,9
13,13.0,0.0,13.0,13.0,361,184.832,11,14,13
14,14.0,0.0,14.0,14.0,202,103.424,8,12,8
15,15.0,0.0,15.0,15.0,602,308.223,13,11,14
16,16.0,0.0,16.0,16.0,826,422.911,17,22,16
17,17.0,0.0,17.0,17.0,188,96.256,15,8,11
18,18.0,0.0,18.0,18.0,257,131.584,10,21,11
19,19.0,0.0,19.0,19.0,151,77.312,13,14,9
20,20.0,0.0,20.0,20.0,205,104.96,8,17,7
21,21.0,0.0,21.0,21.0,629,322.047,15,12,9
22,22.0,0.0,22.0,22.0,748,382.975,14,12,14
23,23.0,0.0,23.0,23.0,310,158.72,9,10,10
24,24.0,0.0,24.0,24.0,72,36.864,5,8,5
25,25.0,0.0,25.0,25.0,131,67.072,6,10,8
26,26.0,0.0,26.0,26.0,71,36.352,6,5,7
27,27.0,0.0,27.0,27.0,819,419.327,15,19,18
28,28.0,0.0,28.0,28.0,342,175.104,11,14,10
29,29.0,0.0,29.0,29.0,171,87.552,5,11,6
30,30.0,0.0,30.0,30.0,183,93.696,7,9,8
31,31.0,0.0,31.0,31.0,212,108.544,6,15,9
32,32.0,0.0,32.0,32.0,154,78.848,8,12,11
33,33.0,0.0,33.0,33.0,60,30.72,5,6,5
34,34.0,0.0,34.0,34.0,356,182.272,11,11,22
35,35.0,0.0,35.0,35.0,678,347.135,18,19,25
36,36.0,0.0,36.0,36.0,382,195.583,11,18,21
37,37.0,0.0,37.0,37.0,372,190.464,24,9,15
38,38.0,0.0,38.0,38.0,516,264.191,16,27,11
39,39.0,0.0,39.0,39.0,164,83.968,11,9,10
40,40.0,0.0,40.0,40.0,364,186.368,7,42,23
41,41.0,0.0,41.0,41.0,691,353.791,12,20,7
42,42.0,0.0,42.0,42.0,184,94.208,8,8,7
43,43.0,0.0,43.0,43.0,141,72.192,8,7,6
44,44.0,0.0,44.0,44.0,69,35.328,6,7,5
45,45.0,0.0,45.0,45.0,80,40.96,7,12,4
46,46.0,0.0,46.0,46.0,104,53.248,7,8,5
47,47.0,0.0,47.0,47.0,579,296.447,13,11,9
48,48.0,0.0,48.0,48.0,472,241.663,15,11,8
49,49.0,0.0,49.0,49.0,288,147.456,13,10,17
50,50.0,0.0,50.0,50.0,127,65.024,7,8,10
51,51.0,0.0,51.0,51.0,344,176.128,10,16,10
52,52.0,0.0,52.0,52.0,286,146.432,12,16,12
53,53.0,0.0,53.0,53.0,590,302.079,8,11,14
54,54.0,0.0,54.0,54.0,212,108.544,7,8,9
55,55.0,0.0,55.0,55.0,61,31.232,5,6,5
56,56.0,0.0,56.0,56.0,246,125.952,8,12,8
57,57.0,0.0,57.0,57.0,234,119.808,8,13,13
58,58.0,0.0,58.0,58.0,144,73.728,7,10,8
59,59.0,0.0,59.0,59.0,119,60.928,6,11,7
60,60.0,0.0,60.0,60.0,707,361.983,13,14,9
61,61.0,0.0,61.0,61.0,699,357.887,13,18,11
62,62.0,0.0,62.0,62.0,461,236.031,7,13,14
63,63.0,0.0,63.0,63.0,114,58.368,4,10,7
64,64.0,0.0,64.0,64.0,327,167.424,11,14,9
65,65.0,0.0,65.0,65.0,211,108.032,10,9,11
66,66.0,0.0,66.0,66.0,358,183.296,7,12,13
67,67.0,0.0,67.0,67.0,83,42.496,5,6,8
68,68.0,0.0,68.0,68.0,437,223.743,10,31,12
69,69.0,0.0,69.0,69.0,204,104.448,8,9,11
70,70.0,0.0,70.0,70.0,208,106.496,6,16,13
71,71.0,0.0,71.0,71.0,396,202.751,9,10,10
72,72.0,0.0,72.0,72.0,271,138.752,8,10,7
73,73.0,0.0,73.0,73.0,122,62.464,7,7,7
74,74.0,0.0,74.0,74.0,335,171.52,7,17,13
75,75.0,0.0,75.0,75.0,289,147.968,9,17,14
76,76.0,0.0,76.0,76.0,263,134.656,10,9,7
77,77.0,0.0,77.0,77.0,240,122.88,10,16,18
78,78.0,0.0,78.0,78.0,226,115.712,6,11,11
79,79.0,0.0,79.0,79.0,188,96.256,8,8,9
80,80.0,0.0,80.0,80.0,172,88.064,5,11,6
81,81.0,0.0,81.0,81.0,165,84.48,8,13,7
82,82.0,0.0,82.0,82.0,164,83.968,13,6,6
83,83.0,0.0,83.0,83.0,144,73.728,9,9,5
84,84.0,0.0,84.0,84.0,111,56.832,7,5,7
85,85.0,0.0,85.0,85.0,110,56.32,8,8,10
86,86.0,0.0,86.0,86.0,110,56.32,9,7,9
87,87.0,0.0,87.0,87.0,107,54.784,4,7,8
88,88.0,0.0,88.0,88.0,102,52.224,10,20,5
