LabelID,Mean,StdD,Max,Min,Count,Vol(mm^3),Extent_X,Extent_Y,Extent_Z
0,0.29813,0.45556,1.6666,0.0,21594359,11056335.368,240,300,300
1,0.68884,0.04106,0.7921,0.5905,32,16.384,4,5,6
2,0.58685,0.04693,0.6664,0.4699,35,17.92,5,5,9
3,0.79706,0.06688,0.9087,0.6374,63,32.256,4,7,5
4,0.84687,0.04814,0.9505,0.7423,64,32.768,5,7,5
5,0.54406,0.05722,0.7994,0.4443,73,37.376,6,17,5
6,0.77544,0.04634,0.8696,0.6663,77,39.424,6,7,5
7,0.55443,0.04574,0.6581,0.4594,106,54.272,11,31,8
8,0.85074,0.0433,0.9423,0.7589,106,54.272,6,7,6
9,0.65004,0.05924,0.8447,0.5241,110,56.32,5,14,13
10,0.74789,0.15467,0.9648,0.4432,125,64.0,8,11,10
11,0.5848,0.04836,0.749,0.4648,125,64.0,17,8,13
12,0.52777,0.07031,0.6702,0.3932,129,66.048,8,11,6
13,0.58085,0.04656,0.7124,0.4821,151,77.312,14,13,15
14,0.54304,0.06787,0.7318,0.3933,185,94.72,8,20,14
15,0.71671,0.06177,0.8597,0.5989,274,140.288,10,8,8
16,0.73757,0.09238,0.915,0.4809,331,169.472,6,20,22
17,0.75717,0.08919,0.9258,0.4831,438,224.256,7,40,27
18,0.62047,0.11102,0.9453,0.3231,612,313.345,7,61,19
19,0.67099,0.06973,0.8762,0.5214,730,373.761,11,14,10
20,0.69959,0.06438,0.8755,0.5208,935,478.721,17,18,10
21,0.72493,0.07618,0.9404,0.5149,940,481.281,18,22,15
