LabelID,Mean,StdD,Max,Min,Count,Vol(mm^3),Extent_X,Extent_Y,Extent_Z
0,0.34927,0.48745,1.6592,0.0,21595835,11057269.025,240,300,300
1,0.94661,0.03914,1.0,0.8559,23,11.776,3,7,2
2,0.57207,0.02807,0.6174,0.5226,24,12.288,3,6,4
3,0.53539,0.08005,0.6321,0.3674,26,13.312,6,5,7
4,0.54615,0.05808,0.6819,0.4498,29,14.848,4,12,4
5,0.63184,0.01385,0.6695,0.6055,33,16.896,4,7,3
6,0.76599,0.07633,0.8783,0.5514,47,24.064,3,16,2
7,0.55729,0.08081,0.7345,0.4004,59,30.209,5,9,5
8,0.93819,0.01875,0.979,0.8833,70,35.841,7,8,15
9,0.69599,0.13575,0.979,0.3043,77,39.425,7,8,7
10,0.57056,0.05908,0.7451,0.4384,81,41.473,6,13,7
11,0.58911,0.04813,0.7161,0.4694,89,45.569,6,9,6
12,0.69102,0.07291,0.8853,0.5307,106,54.273,5,17,11
13,0.5575,0.05543,0.7372,0.4917,175,89.602,20,10,7
14,0.73152,0.13811,0.9706,0.3786,250,128.002,6,23,16
15,0.77081,0.09698,0.9408,0.4587,327,167.427,7,39,18
16,0.66542,0.11551,0.9581,0.4362,386,197.636,11,8,12
17,0.62319,0.11852,0.9536,0.3851,635,325.126,12,68,33
18,0.52024,0.08593,0.8577,0.3375,820,419.848,26,52,34
19,0.52716,0.08237,0.7932,0.3624,908,464.904,30,48,31
