LabelID,Mean,StdD,Max,Min,Count,Vol(mm^3),Extent_X,Extent_Y,Extent_Z
0,0.34931,0.47414,1.6659,0.0,23296960,11927232.662,222,324,324
1,0.53792,0.11026,0.7916,0.4059,22,11.263,3,6,6
2,0.78865,0.07901,0.9199,0.6576,22,11.263,4,3,3
3,0.5844,0.05003,0.6599,0.4742,24,12.287,4,5,5
4,0.76134,0.12066,0.9421,0.5255,26,13.311,5,5,4
5,0.52287,0.04585,0.6036,0.4254,28,14.335,4,9,5
6,0.52717,0.04065,0.5823,0.4406,28,14.335,7,4,4
7,0.56697,0.0429,0.6419,0.4549,39,19.967,4,9,5
8,0.75162,0.06511,0.8774,0.6458,41,20.991,5,5,4
9,0.59003,0.01693,0.6232,0.5557,42,21.503,4,12,3
10,0.54297,0.03307,0.5947,0.4597,45,23.038,8,4,4
11,0.81044,0.07003,0.9405,0.6905,45,23.038,9,5,7
12,0.56952,0.09708,0.8785,0.4083,53,27.134,6,8,5
13,0.45077,0.02418,0.5238,0.3852,55,28.158,6,5,9
14,0.70617,0.02963,0.7916,0.6509,58,29.694,4,6,10
15,0.55859,0.11693,0.8101,0.2976,69,35.326,11,5,7
16,0.69625,0.03597,0.7649,0.6121,72,36.861,7,12,13
17,0.56067,0.0685,0.7182,0.4363,74,37.885,2,7,10
18,0.66234,0.03864,0.7704,0.5675,81,41.469,6,9,5
19,0.62229,0.02387,0.7038,0.5458,86,44.029,5,13,5
20,0.42503,0.02729,0.5181,0.3684,87,44.541,6,8,6
21,0.75462,0.10966,0.9382,0.4333,98,50.173,7,9,10
22,0.61801,0.14794,0.8791,0.3041,98,50.173,8,4,12
23,0.58236,0.03264,0.7126,0.5055,105,53.756,5,12,6
24,0.81901,0.12835,0.9993,0.5263,113,57.852,6,19,7
25,0.56434,0.1279,0.9172,0.3671,122,62.46,6,7,16
26,0.9411,0.02081,0.9966,0.9047,126,64.508,5,10,15
27,0.68319,0.11445,0.9862,0.4769,134,68.603,10,13,21
28,0.87779,0.09473,1.0281,0.5115,168,86.01,5,12,15
29,0.74631,0.12853,1.0132,0.4934,280,143.35,11,18,20
30,0.76729,0.11684,0.9711,0.4461,327,167.413,17,12,16
31,0.73907,0.1569,1.0463,0.4149,415,212.466,13,18,28
32,0.68521,0.11388,0.9883,0.264,1127,576.985,11,42,18
33,0.73285,0.10556,0.9904,0.4975,1327,679.378,13,19,13
34,0.68431,0.12517,0.9817,0.2167,2275,1164.721,19,59,31
